label,log
4,pki_key.cpp:780:53: error: invalid conversion from 'const dsa_st*' to 'DSA*' {aka 'dsa_st*'} [-fpermissive]
4,parse.c:138:10: error: cast increases required alignment of target type [-Werror=cast-align]    138 |   return (XdgDirEntry *)g_array_free (array  FALSE);
4,regsmi.h:67:2: error: implicit declaration of function 'outb' [-Werror=implicit-function-declaration] regsmi.h:68:9: error: implicit declaration of function 'inb' [-Werror=implicit-function-declaration]
4,/home/abuild/rpmbuild/BUILD/xmrig-6.18.1/src/crypto/cn/asm/CryptonightR_template.S:6: Error: unknown pseudo-op: `.intel_syntax'
3,"lj_arch.h:472:2: error: #error ""No target architecture defined""      472 | #error ""No target architecture defined"""
5,Error running (['dpkg-query'  '--showformat=${Version}'  '--show'  'xserver-xorg-video-dummy'] ) {'stdout': -1  'stderr': -1  'universal_newlines': True}: [Errno 2] No such file or directory: 'dpkg-query'
10,make[1]: *** [CMakeFiles/Makefile2:263: CMakeFiles/stage3.dir/all] Error 2 make: *** [Makefile:139: all] Error 2
10,"[ 1690s] [14109:14109:0317/000109.407404:ERROR:sandbox_linux.cc(372)] InitializeSandbox() called with multiple threads in process renderer. Try waiting for /proc to be updated.
[ 1691s] [14109:14109:0317/000110.492219:FATAL:thread_helpers.cc(104)] Current process is not mono-threaded! (iterations: 30)
[32883s] qemu-kvm: terminating on signal 15 from pid 31808 (<unknown process>)
[32883s] ### VM INTERACTION END ###
[32883s] No buildstatus set, either the base system is broken (kernel/initrd/udev/glibc/bash/perl)
[32883s] or the build host has a kernel or hardware problem...


Killed job"
1,"checking for LUA... no
[  640s] configure: error: Selected Lua (luajit) not found
[  641s] error: Bad exit status from /var/tmp/rpm-tmp.yBnASi (%build)"
6,"[ 3921.077845][T13657] Out of memory: Killed process 13602 (Setup) total-vm:1080717396kB, anon-rss:4696636kB, file-rss:0kB, shmem-rss:0kB, UID:399 pgtables:13312kB oom_score_adj:0"
6,"[ 3087.061699][T10850] Out of memory: Killed process 10792 (Setup) total-vm:1080717396kB, anon-rss:4741612kB, file-rss:128kB, shmem-rss:0kB, UID:399 pgtables:13316kB oom_score_adj:0"
6,"[ 3949.921300][T13475] Out of memory: Killed process 13428 (Setup) total-vm:1080717604kB, anon-rss:4741092kB, file-rss:128kB, shmem-rss:0kB, UID:399 pgtables:13316kB oom_score_adj:0"
6,"[22852.060818][ T7152] Out of memory: Killed process 5788 (lto1-ltrans) total-vm:5586432kB, anon-rss:5396368kB, file-rss:216kB, shmem-rss:0kB, UID:399 pgtables:10728kB oom_score_adj:0
[22859s] g++: fatal error: Killed signal terminated program lto1
[22859s] compilation terminated."
10,"Patch #24300 (riscv.patch):
[  161s] + /usr/bin/patch --no-backup-if-mismatch -f -p1 --fuzz=0
[  161s] patching file configure
[  161s] Hunk #1 FAILED at 6973.
[  161s] 1 out of 1 hunk FAILED -- saving rejects to file configure.rej
[  161s] patching file m4/ax_boost_base.m4
[  161s] Hunk #1 FAILED at 113.
[  161s] 1 out of 1 hunk FAILED -- saving rejects to file m4/ax_boost_base.m4.rej"
2,"FAIL: test_it_IT (test_hunspell_suggest.HunspellSuggestTestCase)
[ 3822s] ----------------------------------------------------------------------
[ 3822s] Traceback (most recent call last):
[ 3822s]   File ""/home/abuild/rpmbuild/BUILD/ibus-typing-booster-2.22.1/tests/test_hunspell_suggest.py"", line 158, in test_it_IT
[ 3822s]     self.assertEqual(
[ 3822s] AssertionError: Lists differ: [('pr[31 chars], -1)] != [('pr[31 chars], -1), ('principiante', -1), ('principiarti', [21 chars] -1)]"
2,"../../BUILDROOT/mayavi-4.8.1-1.1.riscv64/usr/lib64/python3.10/site-packages/tvtk/tests/test_array_handler.py:95: in test_array2vtk
[ 1174s]     self._check_arrays(z, vtk_arr)
[ 1174s] ../../BUILDROOT/mayavi-4.8.1-1.1.riscv64/usr/lib64/python3.10/site-packages/tvtk/tests/test_array_handler.py:48: in _check_arrays
[ 1174s]     self.assertEqual(vtk_arr.GetTuple1(i), arr[i])
[ 1174s] E   AssertionError: 128.0 != -128"
6,"make[1]: *** [CMakeFiles/Makefile2:3511: src/notation/CMakeFiles/notation.dir/all] Error 2
[22809s] make: *** [Makefile:139: all] Error 2"
2,"The following tests FAILED:
[ 1950s] 	  3 - test-perl-testsuite (Failed)
[ 1950s] Errors while running CTest
[ 1950s] Output from these tests are in: /home/abuild/rpmbuild/BUILD/os-autoinst-4.6.1679050790.fe55fab/build/Testing/Temporary/LastTest.log
[ 1950s] Use ""--rerun-failed --output-on-failure"" to re-run the failed cases verbosely.
[ 1950s] FAILED: CMakeFiles/check-pkg-build /home/abuild/rpmbuild/BUILD/os-autoinst-4.6.1679050790.fe55fab/build/CMakeFiles/check-pkg-build 
[ 1950s] cd /home/abuild/rpmbuild/BUILD/os-autoinst-4.6.1679050790.fe55fab/build && /usr/bin/ctest -V -E test-local-.*
[ 1950s] ninja: build stopped: subcommand failed."
2,"tests/unit/io/test_asyncioreactor.py:3: in <module>
[ 1414s]     from cassandra.io.asyncioreactor import AsyncioConnection
[ 1414s] cassandra/io/asyncioreactor.py:29: in <module>
[ 1414s]     class AsyncioTimer(object):
[ 1414s] cassandra/io/asyncioreactor.py:49: in AsyncioTimer
[ 1414s]     @asyncio.coroutine
[ 1414s] E   AttributeError: module 'asyncio' has no attribute 'coroutine'"
2,"pytest.fail(
[ 5832s]                     ""unknown failure; view output to identify configuration"")
[ 5832s] E               Failed: unknown failure; view output to identify configuration
[ 5832s] 
[ 5832s] control/tests/flatsys_test.py:227: Failed"
8,[ERROR] [ERROR] Some problems were encountered while processing the POMs: [ 2464s] [ERROR] Unresolveable build extension: Plugin org.apache.felix:maven-bundle-plugin:2.5.3 or one of its dependencies could not be resolved: Failed to read artifact descriptor for org.apache.felix:maven-bundle-plugin:jar:2.5.3
2,"[ 2711s] ERROR ../../BUILDROOT/python-devpi-server-6.8.0-1.2.riscv64/usr/lib/python3.8/site-packages/test_devpi_server/test_streaming_replica_nginx.py::TestStreaming::test_streaming_differing_content_size[0.5-1.3-pkg4]
[ 2711s] = 6 failed, 955 passed, 2 skipped, 2 xfailed, 2 xpassed, 92 warnings, 95 errors in 2301.37s (0:38:21) ="
2,"ERROR: test_error (test_ipykernel.IPyKernelTests)
ERROR: test_execute_result (test_ipykernel.IPyKernelTests) (code='1+2+3') 
ERROR: test_execute_result (test_ipykernel.IPyKernelTests) (code='[n*n for n in range(1, 4)]')"
2,"/usr/lib64/python3.8/unittest/mock.py:904: AssertionError
[  331s] FAILED tests/messaging/test_mqtt.py::MQTTDaemonTestCase::test_run - Assertion…"
5,editdistance/bycython.cpp:216:9: fatal error: longintrepr.h: No such file or directory
1,"In file included from src/diff.h:34,
[   91s]                  from src/blob.c:30:
[   91s] src/types.h:36:2: error: #error You need a compatible libgit2 version (1.5.x)
[   91s]    36 | #error You need a compatible libgit2 version (1.5.x)
[   91s]       |  ^~~~~
[   91s] error: command '/usr/bin/gcc' failed with exit code 1"
2,"FAILED tests/test_functions.py::test_rescaleData - RuntimeWarning: invalid va...
[ 4091s] ====== 1 failed, 429 passed, 7 skipped, 16 warnings in 1170.68s (0:19:30) ======"
2,"FAILED txzmq/test/test_connection.py::ZmqConnectionTestCase::test_send_recv_tcp
[  297s] =================== 1 failed, 29 passed, 9 skipped in 52.62s ==================="
2,"FAILED tests/test_cron.py::test_concurrency_and_backoff - assert 1 == 2
[  292s] ======== 1 failed, 59 passed, 2 xfailed, 1 xpassed, 1 warning in 31.63s ========"
2,"tests/utils.py:90: AssertionError
[  765s] =========================== short test summary info ============================
[  765s] FAILED tests/test_gevent.py::MultiThreadTests::test_profile_greenlets_false
[  765s] ============ 1 failed, 90 passed, 7 deselected in 81.38s (0:01:21) ============="
2,"SKIPPED [1] test/test_check.py:120: needs mypy
[ 8411s] === 4 failed, 1199 passed, 34 skipped, 303 deselected in 7994.68s (2:13:14) ===="
2,"90% tests passed, 1 tests failed out of 10
[  219s] 
[  219s] Total Test time (real) =   0.41 sec
[  219s] 
[  219s] The following tests FAILED:
[  219s] 	  3 - reproc-test-env (Subprocess aborted)
[  219s] Errors while running Ctest"
6,"[39041.970093][ T8659] Out of memory: Killed process 8659 (ld) total-vm:4809176kB, anon-rss:2516592kB, file-rss:128kB, shmem-rss:0kB, UID:399 pgtables:8992kB oom_score_adj:0
[39088s] collect2: fatal error: ld terminated with signal 9 [Killed]
[39088s] compilation terminated."
3,"/home/abuild/rpmbuild/BUILD/Sigil-1.9.30/3rdparty/pcre2/src/pcre2_jit_compile.c:82:2: error: #error Unsupported architecture
[  616s]    82 | #error Unsupported architecture"
1,configure: error: unable to locate pmix installation
3,"/home/abuild/rpmbuild/BUILD/Libraries/tg_owt/src/build/build_config.h:201:2: error: #error Please add support for your architecture in build/build_config.h
[  423s]   201 | #error Please add support for your architecture in build/build_config.h"
7,"[73980s] qemu-kvm: terminating on signal 15 from pid 31691 (<unknown process>)
Job seems to be stuck here, killed. (after 70000 seconds of inactivity)"
2,"99% tests passed, 3 tests failed out of 436
[37103s] 
[37103s] Total Test time (real) = 269.48 sec
[37103s] 
[37103s] The following tests FAILED:
[37103s] 	 16 - BuildModule.Basic (Subprocess aborted)
[37103s] 	151 - Relay.BuildModule (Subprocess aborted)
[37103s] 	188 - Runtime.ZeroCopy (Subprocess aborted)
[37103s] Errors while running CTest"
1,"[  117s] Lmod has detected the following error: The following module(s) are unknown:
[  117s] ""netcdf"""
1,"[  336s] Lmod has detected the following error: The following module(s) are unknown:
[  336s] ""mvapich2"""
1,"[  172s] Lmod has detected the following error: The following module(s) are unknown:
[  172s] ""netcdf"""
1,"[  145s] Lmod has detected the following error: The following module(s) are unknown:
[  145s] ""openmpi"""
1,"[  176s] Lmod has detected the following error: The following module(s) are unknown:
[  176s] ""openmpi"""
1,"[  144s] Lmod has detected the following error: The following module(s) are unknown:
[  144s] ""netcdf"""
1,"[  408s] Lmod has detected the following error: The following module(s) are unknown:
[  408s] ""mvapich2"""
9,"[ 8977s] [ERROR] Failed to execute goal org.apache.maven.plugins:maven-site-plugin:3.7.1:attach-descriptor (attach-descriptor) on project parent: Execution attach-descriptor of goal org.apache.maven.plugins:maven-site-plugin:3.7.1:attach-descriptor failed: Plugin org.apache.maven.plugins:maven-site-plugin:3.7.1 or one of its dependencies could not be resolved: The following artifacts could not be resolved: org.apache.pdfbox:pdfbox:jar:2.0.4, com.ibm.icu:icu4j:jar:58.1: Could not transfer artifact org.apache.pdfbox:pdfbox:jar:2.0.4 from/to aliyun (http://maven.aliyun.com/repository/central/): GET request of: org/apache/pdfbox/pdfbox/2.0.4/pdfbox-2.0.4.jar from aliyun failed: Premature end of Content-Length delimited message body (expected: 2,450,391; received: 1,904,918) -> [Help 1]"
1,"[  321s] Lmod has detected the following error: The following module(s) are unknown:
[  321s] ""openmpi"""
1,"[  317s] Lmod has detected the following error: The following module(s) are unknown:
[  317s] ""openmpi"""
1,"[  164s] Lmod has detected the following error: The following module(s) are unknown:
[  164s] ""mvapich2"""
1,"[  130s] Lmod has detected the following error: The following module(s) are unknown:
[  130s] ""openmpi"""
1,"[  171s] Lmod has detected the following error: The following module(s) are unknown:
[  171s] ""openmpi"""
1,"[ 4768s] /tmp/ccGorFZX.ltrans6.ltrans.o: in function `.L0 ':
[ 4768s] /usr/include/c++/12/bits/vector.tcc:114:(.text+0x92de): relocation truncated to fit: R_RISCV_PCREL_HI20 against `.LC117'
[ 4768s] collect2: error: ld returned 1 exit status"
1,"[ 8183s] /tmp/ccq8uLmg.ltrans14.ltrans.o: in function `.L0 ':
[ 8183s] /usr/include/c++/12/bits/basic_string.h:3555:(.text+0x9750): relocation truncated to fit: R_RISCV_PCREL_HI20 against `.LC81'
[ 8183s] collect2: error: ld returned 1 exit status"
1,"[  228s] Lmod has detected the following error: The following module(s) are unknown:
[  228s] ""mvapich2"""
1,"[  161s] Lmod has detected the following error: The following module(s) are unknown:
[  161s] ""openmpi"
1,"[  267s] Lmod has detected the following error: The following module(s) are unknown:
[  267s] ""openmpi"""
1,"[  210s] Lmod has detected the following error: The following module(s) are unknown:
[  210s] ""superlu"""
1,"[  145s] Lmod has detected the following error: The following module(s) are unknown:
[  145s] ""mvapich2"""
1,"[  188s] Lmod has detected the following error: The following module(s) are unknown:
[  188s] ""superlu"""
1,"[  180s] Lmod has detected the following error: The following module(s) are unknown:
[  180s] ""openmpi"""
1,"[  185s] Lmod has detected the following error: The following module(s) are unknown:
[  185s] ""openmpi"""
1,"[  164s] Lmod has detected the following error: The following module(s) are unknown:
[  164s] ""superlu"""
1,"[  160s] Lmod has detected the following error: The following module(s) are unknown:
[  160s] ""mvapich2"""
1,"[  101s] Lmod has detected the following error: The following module(s) are unknown:
[  101s] ""openmpi"""
1,"[  145s] Lmod has detected the following error: The following module(s) are unknown:
[  145s] ""openmpi"""
2,"[ 3902s] The following tests FAILED:
[ 3902s] 	 38 - torture_rekey (Failed)
[ 3902s] Errors while running Ctest"
1,"[36827s] /home/abuild/rpmbuild/BUILD/mame-mame0248/build/projects/sdl/mamearcade/gmake-linux/../../../../../3rdparty/sol2/sol/sol.hpp:23754:(.text+0x335fe): relocation truncated to fit: R_RISCV_PCREL_HI20 against `.LC183'
[36827s] collect2: error: ld returned 1 exit status"
1,"[22873s] /usr/include/c++/12/bits/stl_tree.h:2457:(.text+0x2d4e4): relocation truncated to fit: R_RISCV_PCREL_HI20 against `.LC139'
[22873s] collect2: error: ld returned 1 exit status"
1,"[ 4505s] /tmp/ccCHGS8x.ltrans126.ltrans.o: in function `.L0 ':
[ 4505s] /home/abuild/rpmbuild/BUILD/mame-mame0248/build/projects/sdl/mametiny/gmake-linux/../../../../../3rdparty/sol2/sol/sol.hpp:18382:(.text+0x1a5ca): relocation truncated to fit: R_RISCV_PCREL_HI20 against `.LC136'
[ 4505s] collect2: error: ld returned 1 exit status"
8,[ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.8.0:compile (default-compile) on project plexus-io: Compilation failure
2,"[  948s] FAILED run_unittests.py::LinuxlikeTests::test_generate_gir_with_address_sanitizer
[  948s] !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!!
[  948s] !!!!!!!!!!!! xdist.dsession.Interrupted: stopping after 1 failures !!!!!!!!!!!!!
[  948s] ====== 1 failed, 319 passed, 56 skipped, 7 warnings in 595.04s (0:09:55) ======="
1,"[  137s] Lmod has detected the following error: The following module(s) are unknown:
[  137s] ""mvapich2"""
1,"[   76s] Lmod has detected the following error: The following module(s) are unknown:
[   76s] ""openmpi"""
1,"[  207s] Lmod has detected the following error: The following module(s) are unknown:
[  207s] ""openmpi"""
1,"[  182s] Lmod has detected the following error: The following module(s) are unknown:
[  182s] ""gnu/12"""
1,"[  148s] Lmod has detected the following error: The following module(s) are unknown:
[  148s] ""gnu/12"""
1,"[  172s] Lmod has detected the following error: The following module(s) are unknown:
[  172s] ""mvapich2"""
1,"[  144s] Lmod has detected the following error: The following module(s) are unknown:
[  144s] ""openmpi"""
1,"[  193s] Lmod has detected the following error: The following module(s) are unknown:
[  193s] ""openmpi"""
1,"[65125s] /tmp/ccU7uGhV.ltrans19.ltrans.o: in function `.L0 ':
[65125s] /home/abuild/rpmbuild/BUILD/mvapich2-2.3.7-1/<artificial>:964:(.text+0x398): relocation truncated to fit: R_RISCV_JAL against `.L313'
[65130s] collect2: error: ld returned 1 exit status"
1,"[88426s] /tmp/ccRzQqnS.ltrans19.ltrans.o: in function `.L0 ':
[88426s] /home/abuild/rpmbuild/BUILD/mvapich2-2.3.7-1/<artificial>:964:(.text+0x398): relocation truncated to fit: R_RISCV_JAL against `.L313'
[88433s] collect2: error: ld returned 1 exit status"
1,"[88619s] /tmp/ccNMxNce.ltrans18.ltrans.o: in function `.L0 ':
[88619s] /home/abuild/rpmbuild/BUILD/mvapich2-2.3.7-1/<artificial>:964:(.text+0x398): relocation truncated to fit: R_RISCV_JAL against `.L313'
[88627s] collect2: error: ld returned 1 exit status"
1,"[  178s] Lmod has detected the following error: The following module(s) are unknown:
[  178s] ""mvapich2"""
1,"[  199s] Lmod has detected the following error: The following module(s) are unknown:
[  199s] ""openmpi"""
1,"[  163s] Lmod has detected the following error: The following module(s) are unknown:
[  163s] ""openmpi"""
1,"[  149s] Lmod has detected the following error: The following module(s) are unknown:
[  149s] ""netcdf"""
1,"[   80s] Lmod has detected the following error: The following module(s) are unknown:
[   80s] ""netcdf"""
1,"[  168s] Lmod has detected the following error: The following module(s) are unknown:
[  168s] ""netcdf"""
1,"[  132s] Lmod has detected the following error: The following module(s) are unknown:
[  132s] ""mvapich2"""
1,"[  161s] Lmod has detected the following error: The following module(s) are unknown:
[  161s] ""netcdf"""
1,"[  161s] Lmod has detected the following error: The following module(s) are unknown:
[  161s] ""openmpi"""
1,"[  274s] Lmod has detected the following error: The following module(s) are unknown:
[  274s] ""openmpi"""
1,"[  111s] Lmod has detected the following error: The following module(s) are unknown:
[  111s] ""netcdf"""
1,"[  128s] Lmod has detected the following error: The following module(s) are unknown:
[  128s] ""openmpi"""
1,"[  139s] Lmod has detected the following error: The following module(s) are unknown:
[  139s] ""openmpi"""
5,[ 7129s] /usr/lib64/gcc/riscv64-suse-linux/13/../../../../riscv64-suse-linux/bin/ld: cannot find -lpmix: No such file or directory
9,[FATAL] Non-resolvable parent POM for org.apache.hive:hive:3.1.2: Could not transfer artifact org.apache:apache:pom:18 from/to huaweicloud (https://mirrors.huaweicloud.com/repository/maven/): mirrors.huaweicloud.com: Name or service not known and 'parent.relativePath' points at wrong local POM @ line 17  column 11
10,make: *** [Makefile:169: all] Error 2
5,[ 7389s] /usr/lib64/gcc/riscv64-suse-linux/13/../../../../riscv64-suse-linux/bin/ld: cannot find -lpmix: No such file or directory
3,"./linux-context.h:43:2: error: #error ""OVERFLOW_ADDRESS() undefined!""
./mb.h:67:2: error: #error Need to define rmb for this architecture!
./mb.h:68:2: error: #error See the kernel source directory: tools/perf/perf.h file"
3,"[  262s] ./linux-context.h:43:2: error: #error ""OVERFLOW_ADDRESS() undefined!""
[  262s] ./mb.h:67:2: error: #error Need to define rmb for this architecture!"
2,"[22635s] Failed 1 test out of 2614, 99.96% okay.
[22635s] 	re/pat_advanced.t"
1,"[ 2588s] gmake[3]: *** No rule to make target 'w'.  Stop.
[ 2588s] gmake[3]: Leaving directory '/home/abuild/rpmbuild/BUILD/petsc-3.18.4'
[ 2588s] gmake[2]: *** [/home/abuild/rpmbuild/BUILD/petsc-3.18.4/lib/petsc/conf/rules:56: libs] Error 2"
1,"[  233s] Lmod has detected the following error: The following module(s) are unknown:
[  233s] ""mvapich2"""
1,"[ 2091s] gmake[3]: *** No rule to make target 'w'.  Stop.
[ 2091s] gmake[3]: Leaving directory '/home/abuild/rpmbuild/BUILD/petsc-3.18.4'
[ 2091s] gmake[2]: *** [/home/abuild/rpmbuild/BUILD/petsc-3.18.4/lib/petsc/conf/rules:56: libs] Error 2"
1,"[  128s] Lmod has detected the following error: The following module(s) are unknown:
[  128s] ""openmpi"""
1,"[  206s] Lmod has detected the following error: The following module(s) are unknown:
[  206s] ""openmpi"""
1,"[ 1555s] gmake[3]: *** No rule to make target 'w'.  Stop.
[ 1555s] gmake[3]: Leaving directory '/home/abuild/rpmbuild/BUILD/petsc-3.18.4'
[ 1555s] gmake[2]: *** [/home/abuild/rpmbuild/BUILD/petsc-3.18.4/lib/petsc/conf/rules:56: libs] Error 2"
1,"[  287s] Lmod has detected the following error: The following module(s) are unknown:
[  287s] ""mvapich2"""
1,"[  162s] Lmod has detected the following error: The following module(s) are unknown:
[  162s] ""openmpi"""
1,"[   63s] Lmod has detected the following error: The following module(s) are unknown:
[   63s] ""openmpi"""
2,[ 4873s] FAILED tests/makeotfexe_test.py::test_spec[/home/abuild/rpmbuild/BUILD/afdko-3.9.3/tests/makeotfexe_data/input/spec/9e-15.bad.fea]
2,"[ 1117s] FAILED tests/unit/bokeh/command/subcommands/test_serve.py::TestIco::test_explicit_envvar
[ 1117s] FAILED tests/unit/bokeh/command/subcommands/test_serve.py::test_unix_socket
[ 1117s] FAILED tests/unit/bokeh/command/subcommands/test_serve.py::TestIco::test_none_option"
2,"[ 1204s] FAILED tests/debugpy/test_run.py::test_frame_eval[no-code-attach_pid] - debug...
[ 1204s] FAILED tests/debugpy/test_run.py::test_frame_eval[no-module-attach_pid] - deb…"
2,[  312s] FAILED tests/asyncio/gapic/test_method_async.py::test_wrap_method_with_overriding_timeout_as_a_number
2,"[ 1335s] FAILED IPython/core/tests/test_debugger.py::test_xmode_skip - pexpect.excepti...
[ 1335s] FAILED IPython/core/tests/test_debugger.py::test_where_erase_value - pexpect....
[ 1335s] FAILED IPython/terminal/tests/test_debug_magic.py::test_debug_magic_passes_through_generators
[ 1335s] = 3 failed, 1308 passed, 63 skipped, 1 xpassed, 43 warnings in 928.27s (0:15:28) ="
2,"[ 1928s] FAILED tests/services/sessions/test_api.py::test_restart_kernel[jp_server_config3]
[ 1928s] FAILED tests/services/sessions/test_api.py::test_restart_kernel[jp_server_config2]"
2,[  426s] FAILED tests/test_notebookapp.py::test_notebook_handler[jp_server_config0] - …
2,[  919s] FAILED tests/test_timeouts.py::test_timeouts - Failed: Inner exception: pytes…
2,[ 2294s] FAILED notebook/services/kernels/tests/test_kernels_api.py::KernelCullingTest::test_culling
1,"[  615s] strace: ptrace(PTRACE_TRACEME, ...): Function not implemented
[  615s] strace: PTRACE_SETOPTIONS: Function not implemented
[  615s] strace: detach: waitpid(8933): No child processes
[  615s] strace: Process 8933 detached
[  615s] FATAL: Failed to run 'strace'."
1,"[  572s] strace: ptrace(PTRACE_TRACEME, ...): Function not implemented
[  572s] strace: PTRACE_SETOPTIONS: Function not implemented
[  572s] strace: detach: waitpid(8907): No child processes
[  572s] strace: Process 8907 detached
[  572s] FATAL: Failed to run 'strace'."
1,"[  611s] strace: ptrace(PTRACE_TRACEME, ...): Function not implemented
[  611s] strace: PTRACE_SETOPTIONS: Function not implemented
[  611s] strace: detach: waitpid(8907): No child processes
[  611s] strace: Process 8907 detached
[  611s] FATAL: Failed to run 'strace'."
1,"[ 6526s] strace: ptrace(PTRACE_TRACEME, ...): Function not implemented
[ 6526s] strace: PTRACE_SETOPTIONS: Function not implemented
[ 6526s] strace: detach: waitpid(7546): No child processes
[ 6526s] strace: Process 7546 detached
[ 6526s] FATAL: Failed to run 'strace'."
2,"[ 6964s] strace: ptrace(PTRACE_TRACEME, ...): Function not implemented
[ 6964s] strace: PTRACE_SETOPTIONS: Function not implemented
[ 6964s] strace: detach: waitpid(8123): No child processes
[ 6964s] strace: Process 8123 detached
[ 6964s] FATAL: Failed to run 'strace'."
1,"[ 5385s] strace: ptrace(PTRACE_TRACEME, ...): Function not implemented
[ 5385s] strace: PTRACE_SETOPTIONS: Function not implemented
[ 5385s] strace: detach: waitpid(4642): No child processes
[ 5385s] strace: Process 4642 detached
[ 5385s] FATAL: Failed to run 'strace'."
1,"[  401s] Lmod has detected the following error: The following module(s) are unknown:
[  401s] ""openblas"""
2,[ 2242s] FAILED tests/cli/test_add.py::test_add_editable_package - resolvelib.resolvers.ResolutionImpossible: Unable to find a resolution
2,"[12002s] FAILED tests/extra_setuptools/test_setuphelper.py::test_simple_setup_py[0-False]
[12002s] FAILED tests/extra_setuptools/test_setuphelper.py::test_simple_setup_py[0-True]"
2,"[ 1127s] FAILED testing/test_debugging.py::TestPDB::test_pdb_interaction_exception - p...
[ 1127s] FAILED testing/test_debugging.py::TestPDB::test_pdb_and_capsys - pexpect.exce...
[ 1127s] FAILED testing/test_debugging.py::TestPDB::test_pdb_with_caplog_on_pdb_invocation
[ 1127s] FAILED testing/test_unittest.py::TestTrialUnittest::test_trial_pdb - pexpect...."
2,"[ 1927s] FAILED tests/test_pytest_cov.py::test_cleanup_on_sigterm_sig_dfl_sigint - Fai...
[ 1927s] FAILED tests/test_pytest_cov.py::test_cleanup_on_sigterm_sig_ign - Failed: no…"
7,"[  209s]   File ""/usr/lib64/python3.8/threading.py"", line 558, in wait
[  209s]     signaled = self._cond.wait(timeout)
[  209s]   File ""/usr/lib64/python3.8/threading.py"", line 306, in wait
[  209s]     gotit = waiter.acquire(True, timeout)"
1,"[  484s] Lmod has detected the following error: The following module(s) are unknown:
[  484s] ""openblas"""
2,"[ 3730s] FAILED sparse/linalg/tests/test_propack.py::test_examples[True-float32] - Fai...
[ 3730s] FAILED sparse/linalg/tests/test_propack.py::test_examples[True-float64] - Fai…"
2,"[  344s] SKIPPED [1] tests/tests_tk.py:7: could not import 'tqdm.tk': No module named 'Tkinter'
[  344s] SKIPPED [1] tests/tests_tqdm.py:1571: could not import 'numpy': No module named 'numpy'"
2,[  350s] FAILED test_misc.py::test_in_threads_parsing - assert False
8,[ERROR] Failed to execute goal org.bsc.maven:maven-processor-plugin:2.2.4:process (process) on project hibernate-core: Error executing: error during compilation
2,"[ 7083s] 304 tests, 1752 assertions, 1 failures, 0 errors, 24 skips
[ 7083s] 
[ 7083s] ruby -v: ruby 3.1.3p185 (2022-11-24 revision 1a6b16756e) [riscv64-linux-gnu]"
2,"[23593s] 22956 tests, 5573099 assertions, 4 failures, 5 errors, 251 skips
[23593s] 
[23593s] ruby -v: ruby 3.2.1 (2023-02-08 revision 31819e82c8) [riscv64-linux-gnu]"
1,"[  175s] Lmod has detected the following error: The following module(s) are unknown:
[  175s] ""mvapich2"""
1,"[  156s] Lmod has detected the following error: The following module(s) are unknown:
[  156s] ""openmpi"""
1,"[  183s] Lmod has detected the following error: The following module(s) are unknown:
[  183s] ""openmpi"""
10,"[  221s] ERROR:  Error installing sassc-2.2.1/sassc-2.2.1.gem:
[  221s] 	ERROR: Failed to build gem native extension."
1,"[  156s] Lmod has detected the following error: The following module(s) are unknown:
[  156s] ""mvapich2"""
1,"[  172s] Lmod has detected the following error: The following module(s) are unknown:
[  172s] ""openmpi"""
1,"[   76s] Lmod has detected the following error: The following module(s) are unknown:
[   76s] ""openmpi"""
5,"  964s] cpio: gcc-12.2.1+git749/libgcc/libgcc2.c: Cannot stat: No such file or directory
[  964s] cpio: gcc-12.2.1+git749/libgcc/libgcc2.h: Cannot stat: No such file or directory
[  964s] cpio: gcc-12.2.1+git749/libgcc/soft-fp/double.h: Cannot stat: No such file or directory
[  964s] cpio: gcc-12.2.1+git749/libgcc/soft-fp/extenddftf2.c: Cannot stat: No such file or directory
[  964s] cpio: gcc-12.2.1+git749/libgcc/soft-fp/quad.h: Cannot stat: No such file or directory
[  964s] cpio: gcc-12.2.1+git749/obj-riscv64-suse-linux/riscv64-suse-linux/libgcc/: Cannot stat: No such file or directory"
1,"[  226s] Lmod has detected the following error: The following module(s) are unknown:
[  226s] ""netcdf"""
9,"[ 1952s] * What went wrong:
[ 1952s] A problem occurred configuring root project 'kafka-2.8.2-src'.
[ 1952s] > Could not resolve all artifacts for configuration ':classpath'.
[ 1952s]    > Could not resolve org.ajoberstar.grgit:grgit-core:4.1.1.
[ 1952s]      Required by:
[ 1952s]          project :
[ 1952s]       > Could not resolve org.ajoberstar.grgit:grgit-core:4.1.1.
[ 1952s]          > Could not get resource 'https://repo.huaweicloud.com/repository/maven/org/ajoberstar/grgit/grgit-core/4.1.1/grgit-core-4.1.1.pom'.
[ 1952s]             > Could not GET 'https://repo.huaweicloud.com/repository/maven/org/ajoberstar/grgit/grgit-core/4.1.1/grgit-core-4.1.1.pom'.
[ 1952s]                > Connect to repo.huaweicloud.com:443 [repo.huaweicloud.com/113.3.58.55, repo.huaweicloud.com/175.153.171.177, repo.huaweicloud.com/175.153.171.173, repo.huaweicloud.com/113.3.58.56] failed: connect timed out"
1,"[  673s] Lmod has detected the following error: The following module(s) are unknown:
[  673s] ""mvapich2"""
